participantId,trialId,trialOrder,responseId,status,description,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,startTime,endTime
"00995f59-79d4-4822-92a0-1d6157b29555","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined"
"00995f59-79d4-4822-92a0-1d6157b29555","introduction","0","","completed","undefined","100.00","undefined","undefined","undefined","undefined","2627808","167866","2026-02-19T18:07:57.355Z","2026-02-19T18:51:45.163Z"
"00995f59-79d4-4822-92a0-1d6157b29555","introduction","0","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":6,""input"":0,""keydown"":0,""keyup"":1,""mousemove"":79,""mousedown"":1,""mouseup"":1,""resize"":1,""scroll"":0,""visibility"":4}","undefined","undefined","undefined","undefined","undefined"
"00995f59-79d4-4822-92a0-1d6157b29555","participant-stats","1","q1-age","completed","undefined","100.00","undefined","What is your age group?","18-40","undefined","4522","4522","2026-02-19T18:51:45.561Z","2026-02-19T18:51:50.083Z"
"00995f59-79d4-4822-92a0-1d6157b29555","participant-stats","1","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined"
"00995f59-79d4-4822-92a0-1d6157b29555","A_bloodGlucose_abnormal","2","A_bloodGlucose_abnormal_fasting_value","completed","undefined","100.00","undefined","What is the fasting blood glucose value?","2.3","2.3","38853","38853","2026-02-19T18:51:50.403Z","2026-02-19T18:52:29.256Z"
"00995f59-79d4-4822-92a0-1d6157b29555","A_bloodGlucose_abnormal","2","A_bloodGlucose_abnormal_postprandial_value","completed","undefined","100.00","undefined","What is the two hours postprandial blood glucose value?","12.2","12.2","38853","38853","2026-02-19T18:51:50.403Z","2026-02-19T18:52:29.256Z"
"00995f59-79d4-4822-92a0-1d6157b29555","A_bloodGlucose_abnormal","2","A_bloodGlucose_abnormal_fasting_normal","completed","undefined","100.00","undefined","Is fasting blood glucose normal?","No","No","38853","38853","2026-02-19T18:51:50.403Z","2026-02-19T18:52:29.256Z"
"00995f59-79d4-4822-92a0-1d6157b29555","A_bloodGlucose_abnormal","2","A_bloodGlucose_abnormal_postprandial_normal","completed","undefined","100.00","undefined","Is two hours postprandial blood glucose normal?","No","No","38853","38853","2026-02-19T18:51:50.403Z","2026-02-19T18:52:29.256Z"
"00995f59-79d4-4822-92a0-1d6157b29555","A_bloodGlucose_abnormal","2","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":6,""input"":4,""keydown"":10,""keyup"":10,""mousemove"":55,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined"
